#SUBARU CENTER	
#Wavelength (A)	%T
23646.00098  84.56010437
23643.99902  84.4948349
23641.99951  84.44929504
23640.0  84.43903351
23638.00049  84.39952087
23636.00098  84.35081482
23633.99902  84.31080627
23631.99951  84.27448273
23630.0  84.24407196
23628.00049  84.19377136
23626.00098  84.15254974
23623.99902  84.1349411
23621.99951  84.09989166
23620.0  84.05949402
23618.00049  84.01717377
23616.00098  83.98969269
23613.99902  83.94124603
23611.99951  83.90463257
23610.0  83.86354065
23608.00049  83.82919312
23606.00098  83.81202698
23603.99902  83.76493835
23601.99951  83.7183609
23600.0  83.68945313
23598.00049  83.65750122
23596.00098  83.63755035
23593.99902  83.60945892
23591.99951  83.56550598
23590.0  83.54094696
23588.00049  83.49332428
23586.00098  83.45580292
23583.99902  83.43935394
23581.99951  83.41220093
23580.0  83.38277435
23578.00049  83.34697723
23576.00098  83.31745148
23573.99902  83.27935028
23571.99951  83.24042511
23570.0  83.23110962
23568.00049  83.20596313
23566.00098  83.17850494
23563.99902  83.16692352
23561.99951  83.10764313
23560.0  83.08222198
23558.00049  83.08218384
23556.00098  83.03668976
23553.99902  83.00498962
23551.99951  82.98597717
23550.0  82.9510498
23548.00049  82.93897247
23546.00098  82.91809082
23543.99902  82.90904236
23541.99951  82.88687134
23540.0  82.87567139
23538.00049  82.84140015
23536.00098  82.83100128
23533.99902  82.80899811
23531.99951  82.78087616
23530.0  82.76422882
23528.00049  82.74433899
23526.00098  82.73847198
23523.99902  82.72303772
23521.99951  82.70742035
23520.0  82.7040863
23518.00049  82.66234589
23516.00098  82.65720367
23513.99902  82.64886475
23511.99951  82.64757538
23510.0  82.64244843
23508.00049  82.62165833
23506.00098  82.6027832
23503.99902  82.59571838
23501.99951  82.57411957
23500.0  82.56525421
23498.00049  82.56298065
23496.00098  82.54722595
23493.99902  82.54548645
23491.99951  82.54402161
23490.0  82.53791809
23488.00049  82.53125763
23486.00098  82.52572632
23483.99902  82.52300262
23481.99951  82.52946472
23480.0  82.50788116
23478.00049  82.4886322
23476.00098  82.49521637
23473.99902  82.49933624
23471.99951  82.49862671
23470.0  82.50695801
23468.00049  82.49466705
23466.00098  82.49036407
23463.99902  82.50411224
23461.99951  82.50471497
23460.0  82.50596619
23458.00049  82.51532745
23456.00098  82.51834869
23453.99902  82.5328064
23451.99951  82.51134491
23450.0  82.51804352
23448.00049  82.52680206
23446.00098  82.51928711
23443.99902  82.52899933
23441.99951  82.54624939
23440.0  82.54436493
23438.00049  82.56587219
23436.00098  82.53775024
23433.99902  82.56266022
23431.99951  82.57984161
23430.0  82.57912445
23428.00049  82.60889435
23426.00098  82.60028076
23423.99902  82.60438538
23421.99951  82.61978912
23420.0  82.6309967
23418.00049  82.62825775
23416.00098  82.6517868
23413.99902  82.65772247
23411.99951  82.66920471
23410.0  82.69026184
23408.00049  82.69106293
23406.00098  82.70337677
23403.99902  82.72436523
23401.99951  82.73184967
23400.0  82.75006866
23398.00049  82.76760101
23396.00098  82.78598022
23393.99902  82.811203
23391.99951  82.82062531
23390.0  82.83248901
23388.00049  82.85856628
23386.00098  82.87029266
23383.99902  82.89602661
23381.99951  82.89818573
23380.0  82.92569733
23378.00049  82.93424988
23376.00098  82.9571991
23373.99902  82.97319794
23371.99951  83.01003265
23370.0  83.02801514
23368.00049  83.05039215
23366.00098  83.06271362
23363.99902  83.08716583
23361.99951  83.10660553
23360.0  83.12181091
23358.00049  83.12860107
23356.00098  83.15692902
23353.99902  83.18898773
23351.99951  83.20909119
23350.0  83.24093628
23348.00049  83.24391174
23346.00098  83.27127838
23343.99902  83.28766632
23341.99951  83.30191803
23340.0  83.32157135
23338.00049  83.36991119
23336.00098  83.39328003
23333.99902  83.39923859
23331.99951  83.43299866
23330.0  83.45455933
23328.00049  83.47408295
23326.00098  83.50101471
23323.99902  83.52552795
23321.99951  83.53131866
23320.0  83.55657196
23318.00049  83.58953094
23316.00098  83.61000061
23313.99902  83.62943268
23311.99951  83.65382385
23310.0  83.69065857
23308.00049  83.71076965
23306.00098  83.74030304
23303.99902  83.76467133
23301.99951  83.79747009
23300.0  83.81655884
23298.00049  83.83565521
23296.00098  83.85881805
23293.99902  83.90814972
23291.99951  83.91773987
23290.0  83.96122742
23288.00049  83.97038269
23286.00098  84.00661469
23283.99902  84.02153015
23281.99951  84.07023621
23280.0  84.08959198
23278.00049  84.13169098
23276.00098  84.12978363
23273.99902  84.15701294
23271.99951  84.20192719
23270.0  84.19963837
23268.00049  84.2303772
23266.00098  84.26210785
23263.99902  84.28471375
23261.99951  84.32408905
23260.0  84.32001495
23258.00049  84.37003326
23256.00098  84.39614868
23253.99902  84.41536713
23251.99951  84.45779419
23250.0  84.45701599
23248.00049  84.50662994
23246.00098  84.52983856
23243.99902  84.52784729
23241.99951  84.58569336
23240.0  84.59983826
23238.00049  84.6210022
23236.00098  84.64888
23233.99902  84.66247559
23231.99951  84.68929291
23230.0  84.71790314
23228.00049  84.75540924
23226.00098  84.76682281
23223.99902  84.80073547
23221.99951  84.82315826
23220.0  84.84394836
23218.00049  84.86206055
23216.00098  84.90324402
23213.99902  84.94235992
23211.99951  84.96137238
23210.0  84.9666214
23208.00049  85.00357056
23206.00098  85.01786804
23203.99902  85.02685547
23201.99951  85.05104828
23200.0  85.07852936
23198.00049  85.0936203
23196.00098  85.12666321
23193.99902  85.16447449
23191.99951  85.18060303
23190.0  85.18714142
23188.00049  85.21378326
23186.00098  85.24501801
23183.99902  85.27238464
23181.99951  85.29613495
23180.0  85.31912994
23178.00049  85.34767914
23176.00098  85.3414917
23173.99902  85.37892914
23171.99951  85.3963623
23170.0  85.42749786
23168.00049  85.44172668
23166.00098  85.45365143
23163.99902  85.48226929
23161.99951  85.49536896
23160.0  85.52409363
23158.00049  85.53977966
23156.00098  85.53826904
23153.99902  85.57971191
23151.99951  85.59421539
23150.0  85.59234619
23148.00049  85.63312531
23146.00098  85.65131378
23143.99902  85.67411804
23141.99951  85.67254639
23140.0  85.69538879
23138.00049  85.7062149
23136.00098  85.72629547
23133.99902  85.73369598
23131.99951  85.74832916
23130.0  85.78035736
23128.00049  85.8039856
23126.00098  85.80299377
23123.99902  85.82460022
23121.99951  85.84247589
23120.0  85.85323334
23118.00049  85.845047
23116.00098  85.8614502
23113.99902  85.88510132
23111.99951  85.89977264
23110.0  85.91117096
23108.00049  85.90904999
23106.00098  85.94407654
23103.99902  85.96620178
23101.99951  85.96479034
23100.0  85.97784424
23098.00049  85.97925568
23096.00098  86.0022583
23093.99902  86.02440643
23091.99951  86.03794098
23090.0  86.04782104
23088.00049  86.03459167
23086.00098  86.06137848
23083.99902  86.06626129
23081.99951  86.08358765
23080.0  86.07639313
23078.00049  86.09966278
23076.00098  86.10106659
23073.99902  86.11450958
23071.99951  86.12064362
23070.0  86.12369537
23068.00049  86.13900757
23066.00098  86.14399719
23063.99902  86.15519714
23061.99951  86.14369202
23060.0  86.17473602
23058.00049  86.17669678
23056.00098  86.18809509
23053.99902  86.17498016
23051.99951  86.1905365
23050.0  86.19815826
